patch,build,date,section,change_type,previous,now,full_text,patch_major,patch_minor,patch_hotfix
2.5.0,69713,"December 11, 2025",Skills,single,,,Grizzly Rage,2,5,0
2.5.0,69713,"December 11, 2025",Skills,single,,,Cooldown reduced from 50 to 35 seconds.,2,5,0
2.5.0,69713,"December 11, 2025",Skills,single,,,Duration increased from 10 to 12 seconds.,2,5,0
2.5.0,69713,"December 11, 2025",Skills,single,,,Damage Reduction increased from 20% to 30%.,2,5,0
2.5.0,69713,"December 11, 2025",Skills,single,,,Rank 5:,2,5,0
2.5.0,69713,"December 11, 2025",Skills,comparison,You gain 30%[+] increased Armor while Grizzly Rage is active.,Cooldown reduced by 10 seconds.,Changed from You gain 30%[+] increased Armor while Grizzly Rage is active. to Cooldown reduced by 10 seconds.,2,5,0
2.5.0,69713,"December 11, 2025",Passives,single,,,Earthen Might,2,5,0
2.5.0,69713,"December 11, 2025",Passives,single,,,Damage against immobilized enemies increased from 15%[x] to 25%[x].,2,5,0
2.5.0,69713,"December 11, 2025",Passives,single,,,Critical Strike Damage increased from 15%[x] to 20%[x].,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Aspect of the Rampaging Werebeast,2,5,0
2.5.0,69713,"December 11, 2025",Items,comparison,"The duration of Grizzly Rage is increased by 3-10 seconds. In addition, Critical Strikes while Grizzly Rage is active increase your Critical Strike Damage by 10%[x] for the duration, up to maximum of 200%[x].","Critical Strikes while in Grizzly Rage increases your damage by 3%[x] for 60 seconds, up to 120%[x].","Changed from The duration of Grizzly Rage is increased by 3-10 seconds. In addition, Critical Strikes while Grizzly Rage is active increase your Critical Strike Damage by 10%[x] for the duration, up to maximum of 200%[x]. to Critical Strikes while in Grizzly Rage increases your damage by 3%[x] for 60 seconds, up to 120%[x].",2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Aspect of the Rabid,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Beast,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Bear,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Changed to Aspect of the Rabid Beast.,2,5,0
2.5.0,69713,"December 11, 2025",Items,comparison,"While Grizzly Rage is active, your direct damage is converted into Poison damage, you deal x[40 - 80]% more Poison damage, and you passively spread Rabies.","Deal 40-80%[x] more Poison Damage. While Shapeshifted, your direct damage is converted into Poison damage.","Changed from While Grizzly Rage is active, your direct damage is converted into Poison damage, you deal x[40 - 80]% more Poison damage, and you passively spread Rabies. to Deal 40-80%[x] more Poison Damage. While Shapeshifted, your direct damage is converted into Poison damage.",2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Khamsin Steppewalkers (New Boots),2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Power,2,5,0
2.5.0,69713,"December 11, 2025",Items,comparison,"Previous (PTR): Damaging [200 - 100] Enemies with Storm Skills grants a charge. Casting any Defensive Skill will grant Max Movement Speed and Unhindered for 1 second for each charge used. While Charged, enemies you run into are Immobilized for 1 second.",Damaging 150-100 Enemies with Nature Magic Skills grants Max Movement Speed and Unhindered for 4-8 seconds. Enemies you run through are Immobilized for 1 second.,"Changed from Previous (PTR): Damaging [200 - 100] Enemies with Storm Skills grants a charge. Casting any Defensive Skill will grant Max Movement Speed and Unhindered for 1 second for each charge used. While Charged, enemies you run into are Immobilized for 1 second. to Damaging 150-100 Enemies with Nature Magic Skills grants Max Movement Speed and Unhindered for 4-8 seconds. Enemies you run through are Immobilized for 1 second.",2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Affixes,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Movement Speed Affix replaced with 1-2 ranks of Endless Tempest.,2,5,0
2.5.0,69713,"December 11, 2025",Paragon,single,,,Earthen Devastation,2,5,0
2.5.0,69713,"December 11, 2025",Paragon,comparison,"Your Earth Skills deal 10%[x] increased Critical Strike Damage, increased by 20%[x] of your Damage vs Crowd Controlled bonus, up to 60%[x].",Your Earth Skills deal 70%[x] increased Critical Strike Damage.,"Changed from Your Earth Skills deal 10%[x] increased Critical Strike Damage, increased by 20%[x] of your Damage vs Crowd Controlled bonus, up to 60%[x]. to Your Earth Skills deal 70%[x] increased Critical Strike Damage.",2,5,0
2.5.0,69713,"December 11, 2025",Paragon,single,,,Constricting Tendrils,2,5,0
2.5.0,69713,"December 11, 2025",Paragon,comparison,Nature Magic Skills deal 35%[x] increased damage to Poisoned enemies. Lucky Hit: Nature Magic Skills have up to a 40% chance to Poison the enemy for 800% damage over 4 seconds.,Deal 40%[x] increased damage to Poisoned enemies. Lucky Hit: Nature Magic Skills have up to a 40% chance to Poison the enemy for 1000% damage over 4 seconds.,Changed from Nature Magic Skills deal 35%[x] increased damage to Poisoned enemies. Lucky Hit: Nature Magic Skills have up to a 40% chance to Poison the enemy for 800% damage over 4 seconds. to Deal 40%[x] increased damage to Poisoned enemies. Lucky Hit: Nature Magic Skills have up to a 40% chance to Poison the enemy for 1000% damage over 4 seconds.,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Druid Motion,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Digitigrade Gait,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Necromancer,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Book of the Dead,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Iron Golem,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Attack Speed increased by 25%.,2,5,0
2.5.0,69713,"December 11, 2025",Skills,single,,,Bone Spirit,2,5,0
2.5.0,69713,"December 11, 2025",Skills,single,,,Reverted Essence cap from PTR.,2,5,0
2.5.0,69713,"December 11, 2025",Passives,single,,,Hellbent Commander,2,5,0
2.5.0,69713,"December 11, 2025",Passives,single,,,Removed the requirement for controlling 7 or more Minions.,2,5,0
2.5.0,69713,"December 11, 2025",Passives,single,,,Rathma's Vigor,2,5,0
2.5.0,69713,"December 11, 2025",Passives,single,,,Timer for Overpower reduced from 15 to 10 seconds.,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Aspect of Shielding Storm,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Barrier reduced from 1-8% to 1-3% of Maximum Health.,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,"Sanguivor, Blade of Zir",2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,"Consuming a Corpse now contributes 3 souls to Vampiric Curse, up from 1.",2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Damage bonus increased from 15-25% to 20-30% per soul.,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Cruor’s Embrace,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Damage increased from 40-80% to 60-120% of weapon damage.,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Mutilator Plate,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Blood Lance Damage increased from 10-40% to 30-60%.,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Ring of Mendeln,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Damage increased from 520-900% to 650-1100% of weapon damage.,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,"Bone Golem's combo attack of two swings now counts as a single attack for the purposes of Ring of Mendeln, rather than two separate attacks.",2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Resource Generation with Two-Handed Weapons.,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Resource Generation while Wielding a Shield.,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Rogue,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Damage scaling per 10 points of Dexterity increased from 1.1% to 1.25%.,2,5,0
2.5.0,69713,"December 11, 2025",Skills,single,,,Improved Flurry,2,5,0
2.5.0,69713,"December 11, 2025",Skills,single,,,Healing reduced from 10% to 6%.,2,5,0
2.5.0,69713,"December 11, 2025",Passives,single,,,Siphoning Strikes,2,5,0
2.5.0,69713,"December 11, 2025",Passives,single,,,Healing per Rank reduced from 1% to .5% of Maximum Health.,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Trickshot Aspect,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Damage increased from 10-30% to 20-40%.,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Bladedancer's Aspect,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Damage increased from 100-120% to 100-140%.,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Unique Items,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Beastfall Boots,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Reverted Energy cap from PTR.,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Windforce,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Chance to deal triple damage to Knocked Down enemies increased from 50-75% to 50-100%.,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Scoudrel's Kiss,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Bonus damage increased from 35-55% to 50-70%.,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Deathmask of Nirmitruq,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Bonus damage increased from 70-100% to 70-130%.,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Rogue Motion,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Ranks to Stutter Step,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Rogue Persistence,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Sorcerer,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Developer’s Note:,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,"We heard the feedback from PTR loud and clear, and decided to revisit the suite of Teleport changes for the start of the season. We decided to keep the overall changes to Teleport Enchantment, but we wanted to give more of the cooldown reduction power lost there and put it back into itemization. You should have a clearer choice to invest using item slots or tempering to get a fully reset cooldown Teleport, while also maintaining a middle-ground level of investment that gives you a low cooldown option.",2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Enchantments,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Teleport Enchantment,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Adjusted the description to specify that it invokes Teleport and doesn't Cast it.,2,5,0
2.5.0,69713,"December 11, 2025",Skills,single,,,Shimmering Teleport,2,5,0
2.5.0,69713,"December 11, 2025",Skills,comparison,Previous (PTR): Teleport Dazes enemies at its end point for 1.5 seconds.,You gain 25%[+] All Resistance for 3 seconds after Teleporting.,Changed from Previous (PTR): Teleport Dazes enemies at its end point for 1.5 seconds. to You gain 25%[+] All Resistance for 3 seconds after Teleporting.,2,5,0
2.5.0,69713,"December 11, 2025",Passives,single,,,Potent Warding,2,5,0
2.5.0,69713,"December 11, 2025",Passives,comparison,Casting a Skill grants 3%[+] All Resistance and 2%[+] Maximum Resistance to that Skill's Element for 9 seconds.,Casting a Skill grants 3%[+] All Resistance and 5%[+] Resistance to that Skill's Element for 9 seconds.,Changed from Casting a Skill grants 3%[+] All Resistance and 2%[+] Maximum Resistance to that Skill's Element for 9 seconds. to Casting a Skill grants 3%[+] All Resistance and 5%[+] Resistance to that Skill's Element for 9 seconds.,2,5,0
2.5.0,69713,"December 11, 2025",Passives,single,,,Energy Focus,2,5,0
2.5.0,69713,"December 11, 2025",Passives,single,,,Maximum Barrier reduced from 30% to 20% of Maximum Health.,2,5,0
2.5.0,69713,"December 11, 2025",Passives,single,,,Protection,2,5,0
2.5.0,69713,"December 11, 2025",Passives,single,,,Barrier per Rank reduced from 10% to 5% of Maximum Health.,2,5,0
2.5.0,69713,"December 11, 2025",Passives,single,,,Warmth,2,5,0
2.5.0,69713,"December 11, 2025",Passives,single,,,Healing reduced from 1% per Rank to .2% of Maximum Health.,2,5,0
2.5.0,69713,"December 11, 2025",Passives,single,,,Healing from Bosses reduced from 4% to 2% of Maximum Health.,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Aspect of Mind's Awakening,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Barrier reduced from 3-6% to 1.5-3% of Maximum Health.,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Serpentine Aspect,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Reverted Mana cap from Season of Infernal Chaos.,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Aspect of the Bounding Conduit,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Teleport's Cooldown reduction increased from 1-2.5 to 3-4.5 seconds.,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Aspect of Biting Cold,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Previous: When you Freeze an enemy there is a [25-45%] chance they become Vulnerable for 3 seconds.,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,New: Frost Skills deal 20-30%x increased damage and have a 40% chance to apply Vulnerable for 4 seconds.,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,The Oculus,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,comparison,"Previous (PTR): Casting Teleport grants a stack of Galvanization, increasing its damage by 30-50% for 8 seconds. Becoming Injured Teleports you to a random location.",Each enemy hit by Teleport increases the damage by 5-15%|x| and reduces the Cooldown by 0.5 seconds of the next cast. Becoming Injured will Teleport you to a random location.,"Changed from Previous (PTR): Casting Teleport grants a stack of Galvanization, increasing its damage by 30-50% for 8 seconds. Becoming Injured Teleports you to a random location. to Each enemy hit by Teleport increases the damage by 5-15%|x| and reduces the Cooldown by 0.5 seconds of the next cast. Becoming Injured will Teleport you to a random location.",2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Raiment of the Infinite,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Power,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,comparison,"Previous (PTR): After Casting Teleport, Close enemies are Pulled Inwards and it has a 10-30% chance to reset from each enemy it kills.",Teleport pulls Close enemies to you and grants 10-30% Damage Reduction.,"Changed from Previous (PTR): After Casting Teleport, Close enemies are Pulled Inwards and it has a 10-30% chance to reset from each enemy it kills. to Teleport pulls Close enemies to you and grants 10-30% Damage Reduction.",2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Affixes,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Ranks to Elemental Attunement replaced with All Resistance.,2,5,0
2.5.0,69713,"December 11, 2025",Legendary Aspects,single,,,Ranks to Shocking Impact replaced with 30-40% Teleport CDR.,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Sorcerer Motion,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Ranks to Conduction,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Frost Finesse,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Affixes Added:,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Frost Critical Strike Chance,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Spiritborn,2,5,0
2.5.0,69713,"December 11, 2025",Skills,single,,,Poised Payback,2,5,0
2.5.0,69713,"December 11, 2025",Skills,single,,,Reverted Vigor cap from PTR.,2,5,0
2.5.0,69713,"December 11, 2025",Skills,single,,,Poised Rushing Claw,2,5,0
2.5.0,69713,"December 11, 2025",Skills,single,,,Now reduces the time to recharge charges by 5 seconds.,2,5,0
2.5.0,69713,"December 11, 2025",Passives,single,,,Fueled,2,5,0
2.5.0,69713,"December 11, 2025",Passives,comparison,Gain Life On Kill equal to 5% of your Maximum Life while you have at least 4 stacks of Ferocity.,Gain 1-181 (depending on level) Life On Hit while you have at least 4 stacks of Ferocity.,Changed from Gain Life On Kill equal to 5% of your Maximum Life while you have at least 4 stacks of Ferocity. to Gain 1-181 (depending on level) Life On Hit while you have at least 4 stacks of Ferocity.,2,5,0
2.5.0,69713,"December 11, 2025",Passives,single,,,Potent,2,5,0
2.5.0,69713,"December 11, 2025",Passives,comparison,Previous (PTR): Gain 2/4/6% Jaguar Attack Speed and Cooldown Reduction.,Jaguar Skills deal 6/12/18%[x] increased direct damage to up to 3 of the Closest enemies to you.,Changed from Previous (PTR): Gain 2/4/6% Jaguar Attack Speed and Cooldown Reduction. to Jaguar Skills deal 6/12/18%[x] increased direct damage to up to 3 of the Closest enemies to you.,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Aspect of Forest Power,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Barrier reduced from 25% to 15% of Maximum Health.,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Rod of Kepeleke,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Reverted Vigor cap from PTR.,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Peacemonger's Signet,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Dodge chance changed to Dexterity.,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Masterworking,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,"Maximum quality is now 25, up from 20.",2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,"Quality increase per Masterwork is now 2-5, up from 1-3.",2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Quality upgrades now increase all affix values by 1% per quality value.,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,"Fully Masterworking an item now gives a 50% upgrade to a random affix, which can be a Tempering Affix.",2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,The boosted affix will be colored differently to highlight it.,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,"Masterworking cost has been adjusted, and scales exponentially with Item Quality.",2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Examples,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Item Quality 0: 10 Obducite,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Item Quality 5: 25 Obducite,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Item Quality 15: 66 Obducite,2,5,0
2.5.0,69713,"December 11, 2025",Items,single,,,Item Quality 25: 100 Obducite,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,There is now a chance a tempered affix gets applied as a Greater Affix.,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Resource gain Tempering affixes have been added for Helms and Rings.,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Resource per second Tempering affix added for Pants.,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,"Adjusted Tempering Recipes to remove affixes from Class-specific Manuals that were extraneous due to existing in Generic Manuals, or unused.",2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Some class wide affixes have been adjusted,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Natural Motion,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Movement Speed changed from 16-25% to 15-25%.,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Movement Speed After Killing an Elite increased from 20-22.5% to 25-45%.,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Worldly Endurance,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Maximum Life increased from 84-141 to 349-450.,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Natural Schemes,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Thorns increased from 45-70 to 211-281.,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Worldly Stability,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Casting Ultimate Skills Restores Primary Resource.,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Toughness,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,"When comparing items, the Armor or resistance difference between items will now display as percentage of Toughness difference instead of just displaying the flat Armor difference.",2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Toughness is now displayed in the Character Stats window.,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,The Toughness tooltip now breaks down Damage Resistance per damage type.,2,5,0
2.5.0,69713,"December 11, 2025",Tempering,single,,,Torment difficulties now display a recommended Toughness amount when selecting difficulty.,2,5,0
2.5.0,69713,"December 11, 2025",Miscellaneous,single,,,Fortify and Barrier Generation are now a part of the general defensive pool of affixes that can appear on items.,2,5,0
2.5.0,69713,"December 11, 2025",Miscellaneous,single,,,"Monsters in the open world no longer scale 1:1 with your level, it is now offset so the player scales better than monsters.",2,5,0
2.5.0,69713,"December 11, 2025",Miscellaneous,single,,,Monsters damage has been reduced at low levels.,2,5,0
2.5.0,69713,"December 11, 2025",Miscellaneous,single,,,Monster power has been tuned down slightly in early Torment tiers.,2,5,0
2.5.0,69713,"December 11, 2025",Miscellaneous,single,,,Base Health for boss monsters has been increased.,2,5,0
2.5.0,69713,"December 11, 2025",Miscellaneous,single,,,The chance for items with multiple Greater Affixes to drop has been increased in Torment tiers.,2,5,0
2.5.0,69713,"December 11, 2025",Miscellaneous,single,,,More items now drop from levels 1-15.,2,5,0
2.5.0,69713,"December 11, 2025",Miscellaneous,single,,,"When in a Capstone dungeon, the closest affiliated difficulty is now displayed.",2,5,0
2.5.0,69713,"December 11, 2025",Miscellaneous,single,,,"Cooldown Reduction can now naturally appear on rings, gloves, and shields.",2,5,0
2.5.0,69713,"December 11, 2025",Miscellaneous,single,,,Various tuning to Capstone Dungeon encounters.,2,5,0
2.5.0,69713,"December 11, 2025",Miscellaneous,single,,,Various monster and monster pack spawning adjustments.,2,5,0
2.5.0,69713,"December 11, 2025",Miscellaneous,single,,,Various other minor updates and tweaks to Sanctification and Seasonal Activities.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Activities,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where Duriel maggots spawned in Helltide spawned experience motes at inappropriate times.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where the Luminary in Unseen Awakening didn't respawn after the player died.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where Sweltering Heat in the Torrid Menagerie could cause the player to damage themself.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where the Leave Dungeon action didn't take the player out of the Dungeon when in the Torrid Menagerie.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where the Sins of the Many Capstone dungeon could not be exited without logging out.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,"Fixed an issue where if you defeated Belial when he appeared after defeating Varshan, he wouldn't drop items as expected.",2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where the unavoidable blood orb explosions in the second phase of the Echo of Lilith fight dealt more damage than intended.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where monsters could stop spawning unexpectedly in Kor Dragan Stronghold.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where the last enemy could fail to spawn to complete the Enroaching Thickets objective in the Raethwind Wilds.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where having the objective to defeat the Blood Maiden was impossible to complete due to Duriel replacing the Blood Maiden in Helltide.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where some bosses could fail to spawn if the player was in stealth when the boss was supposed to spawn.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where monsters with the Illusory affix could spawn monsters with the Life-Link affix that could then be killed instantly.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue in multiple dungeons where only one instance of animus needed to be collected before the dungeon could be progressed.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where progression through Escalating Nightmare Dungeons could be blocked by teleport effects.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where some monsters could deal more damage than expected.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where some Nightmare Dungeon Affixes could remain active outside of the dungeon.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Skills and Equipment,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,General,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where the cost for enchanting an item at the Occultist was not consistent for all two-handed weapons.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where the material cost for Masterworking was displayed inaccurately.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where the Damage Per Second value was inconsistently displayed between the Masterworking tab and the weapon itself.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where Items salvaged for far more materials than intended.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where Soulbrand Unique did not give the correct amount of Barrier.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where the Feo rune would reset its cooldown when swapping weapons.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where Attack Speed could appear as an affix on a Two-Handed weapon through enchantment.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed multiple instances of Paragon node bonus effects not being properly being granted.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed multiple instances where items had the incorrect values of elemental resistances.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where Heavenly Sigils could fail to be consumed when Sanctifying an item.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Barbarian,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where Strategic Rallying Cry did not show the accurate amount of Life gained.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where Ugly Bastard Helm did not have the appropriate amount of Fire Resistance.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where the Brash Node no longer granted resistances as a bonus.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where the Yul rune was not triggered by Ground Stomp if Chainscourged Mail was equipped.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where Ramaladni's Magnum Opus was active even when the active skill wasn't using the weapon.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an amount where the Fury cost for Kick was incorrect.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Druid,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where Preserving Earthen Bulwark was granting the incorrect amount of Fortify.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where Ancestral Fortitude didn't increase non-physical resistance.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where the Movement Speed buff from Khamsin Steppewalkers could be permanently granted when casting two defensive skills in a row.,2,5,0
2.5.0,69713,"December 11, 2025",Bug Fixes,single,,,Fixed an issue where the description for the buff from Khamsin Steppewalkers displayed the wrong values.,2,5,0
