patch,build,date,section,subsection,category,change_type,previous,now,full_text
2.5.0,69713,"December 11, 2025",Game Updates,Barbarian,Affixes,single,,,8.1-8.8% Cooldown Reduction
2.5.0,69713,"December 11, 2025",Game Updates,Barbarian,Affixes,single,,,+2-3 to Brawling Skills
2.5.0,69713,"December 11, 2025",Game Updates,Barbarian,Affixes,single,,,Unique Power
2.5.0,69713,"December 11, 2025",Game Updates,Barbarian,Affixes,single,,,"Casting a damaging Brawling Skill disables it afterwards. When all of these Skills that are on your Action Bar are disabled, they become re-enabled with their Cooldowns refreshed. Your Brawling Skills deal 50-100%[x] increased damage for each disabled Skill."
2.5.0,69713,"December 11, 2025",Game Updates,Barbarian,Affixes,single,,,Associated Lair Boss
2.5.0,69713,"December 11, 2025",Game Updates,Barbarian,Affixes,single,,,Lord Zir
2.5.0,69713,"December 11, 2025",Game Updates,Druid,,single,,,Khamsin Steppewalkers (Unique Boots)
2.5.0,69713,"December 11, 2025",Game Updates,Druid,Affixes,single,,,Inherent: Attacks Reduce Evade's Cooldown by 0.5 Seconds
2.5.0,69713,"December 11, 2025",Game Updates,Druid,Affixes,single,,,+1-2 Ranks of Endless Tempest
2.5.0,69713,"December 11, 2025",Game Updates,Druid,Affixes,single,,,+16.5-25.0% Movement Speed
2.5.0,69713,"December 11, 2025",Game Updates,Druid,Affixes,single,,,+41.5-55.0% Crowd Control Duration
2.5.0,69713,"December 11, 2025",Game Updates,Druid,Affixes,single,,,16-25% Nature Magic Cooldown Reduction
2.5.0,69713,"December 11, 2025",Game Updates,Druid,Affixes,single,,,+2-3 to Bad Omen
2.5.0,69713,"December 11, 2025",Game Updates,Druid,Affixes,single,,,Unique Power
2.5.0,69713,"December 11, 2025",Game Updates,Druid,Affixes,single,,,Damaging 150-100 Enemies with Nature Magic Skills grants maximum Movement Speed and Unhindered for 4-8 seconds. Enemies you run through are Immobilized for 1 second.
2.5.0,69713,"December 11, 2025",Game Updates,Druid,Affixes,single,,,"Damaging 200-100 Enemies with Storm Skills grants a charge. Casting any Defensive Skill will grant Max Movement Speed and Unhindered for 1 second for each charge used. While Charged, enemies you run into are Immobilized for 1 second."
2.5.0,69713,"December 11, 2025",Game Updates,Druid,Affixes,single,,,Associated Lair Boss
2.5.0,69713,"December 11, 2025",Game Updates,Druid,Affixes,single,,,"Grigoire, the Galvanic Saint"
2.5.0,69713,"December 11, 2025",Game Updates,Necromancer,,single,,,Gravebloom (Unique One-Handed Mace)
2.5.0,69713,"December 11, 2025",Game Updates,Necromancer,Affixes,single,,,Inherent Affix: 10% Attack Speed
2.5.0,69713,"December 11, 2025",Game Updates,Necromancer,Affixes,single,,,+80-94 Intelligence
2.5.0,69713,"December 11, 2025",Game Updates,Necromancer,Affixes,single,,,+521-561 Maximum Life
2.5.0,69713,"December 11, 2025",Game Updates,Necromancer,Affixes,single,,,+36.5-50% Chance for Golem to Hit Twice
2.5.0,69713,"December 11, 2025",Game Updates,Necromancer,Affixes,single,,,+1-2 Golem Mastery
2.5.0,69713,"December 11, 2025",Game Updates,Necromancer,Affixes,single,,,Unique Power
2.5.0,69713,"December 11, 2025",Game Updates,Necromancer,Affixes,single,,,You raise 3 smaller Golems that each deal 40-60% of normal damage and gain 30%[+] Attack Speed. Your Golems respawn 50% faster.
2.5.0,69713,"December 11, 2025",Game Updates,Necromancer,Affixes,single,,,Associated Lair Boss
2.5.0,69713,"December 11, 2025",Game Updates,Necromancer,Affixes,single,,,Best in Ice
2.5.0,69713,"December 11, 2025",Game Updates,Rogue,,single,,,Death's Pavane (Unique Pants)
2.5.0,69713,"December 11, 2025",Game Updates,Rogue,Affixes,single,,,Inherent: +15% Dodge Chance while Channeling Dance of Knives
2.5.0,69713,"December 11, 2025",Game Updates,Rogue,Affixes,single,,,+9.0-11.0% Critical Strike Chance
2.5.0,69713,"December 11, 2025",Game Updates,Rogue,Affixes,single,,,+16.0-25.0% Movement Speed
2.5.0,69713,"December 11, 2025",Game Updates,Rogue,Affixes,single,,,+2-3 to Dance of Knives
2.5.0,69713,"December 11, 2025",Game Updates,Rogue,Affixes,single,,,+62.5-85.0% Agility Damage
2.5.0,69713,"December 11, 2025",Game Updates,Rogue,Affixes,single,,,Unique Power
2.5.0,69713,"December 11, 2025",Game Updates,Rogue,Affixes,single,,,"Dance of Knives drops knives from enemies hit. Picking them up grants you 1 Charge and increases your Dance of Knives damage by 10-20% for 6 seconds, stacking up to 3 times."
2.5.0,69713,"December 11, 2025",Game Updates,Rogue,Affixes,single,,,Associated Lair Bosses
2.5.0,69713,"December 11, 2025",Game Updates,Rogue,Affixes,single,,,Andariel
2.5.0,69713,"December 11, 2025",Game Updates,Rogue,Affixes,single,,,Duriel
2.5.0,69713,"December 11, 2025",Game Updates,Sorcerer,,single,,,Orsivane (Unique One-Handed Mace)
2.5.0,69713,"December 11, 2025",Game Updates,Sorcerer,Affixes,single,,,+99-113 Intelligence
2.5.0,69713,"December 11, 2025",Game Updates,Sorcerer,Affixes,single,,,+424-457 Maximum Life
2.5.0,69713,"December 11, 2025",Game Updates,Sorcerer,Affixes,single,,,+57.0-75.0% Non-Physical Damage
2.5.0,69713,"December 11, 2025",Game Updates,Sorcerer,Affixes,single,,,+3-4 to Core Skills
2.5.0,69713,"December 11, 2025",Game Updates,Sorcerer,Affixes,single,,,Unique Power
2.5.0,69713,"December 11, 2025",Game Updates,Sorcerer,Affixes,single,,,"For each Defensive Skill not on your Action Bar, you deal 20-40% increased damage and gain its associated Enchantment effect."
2.5.0,69713,"December 11, 2025",Game Updates,Sorcerer,Affixes,single,,,Associated Lair Boss
2.5.0,69713,"December 11, 2025",Game Updates,Sorcerer,Affixes,single,,,Varshan
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Melted heart of Selig
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,comparison,"Gain 60 Maximum Resource. When taking damage, 75% is Drained as 2 Resource for every 1% of Maximum Life you would have lost.",,"Changed from Gain 60 Maximum Resource. When taking damage, 75% is Drained as 2 Resource for every 1% of Maximum Life you would have lost. to "
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Damage is dealt to your Primary Resource before Life and damage taken this way is drastically reduced. Your Primary Resource is doubled but Maximum Life is reduced by 75%.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,"Each point in your Primary Stat increases your Primary Resource by 3%[+] but you have 75% reduced life. Any damage you would take is dealt to your Primary Resource before your life. If you have not taken damage in 6 seconds, your Resource regenerates to full over 3 seconds."
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Developer’s Note:
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Note that taking damage during the 3 second regeneration phase does not cancel the full regeneration.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Resource Generation increased from 15% to
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,50%
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,100%
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Damage Reduction affix replaced with +% of primary stat.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Shattered Vow
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Damage over time duration increased from 44% to 111%.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Tassets of the Dawning Sky
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Maximum Resistance per element replaced with 20-40% Resistance per element.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Maximum Resistance to All Elements affix replaced with All Resistance %.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Tyrael's Might
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,All Resistance updated to 80 All Resistance.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Maximum Resistance affix replaced with Resistance % affix.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Andariel's Visage
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Inherent Poison Resistance affix removed.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Maximum Poison Resistance affix replaced with 666 Poison Resistance affix.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Soulbrand
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Damage Reduction while Healthy affix replaced with Armor affix.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Damage Reduction while you have a Barrier increased from 10-30% to 20-40%.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Temerity
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Maximum Life % affix replaced with Maximum Life affix.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Damage Reduction while Healthy affix replaced with Armor % affix.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Tibault's Will
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Maximum Life affix replaced with Critical Strike Chance affix.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Damage Reduction while Unstoppable affix replaced with Attack Speed affix.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Resource gain when becoming Unstoppable increased from 50 to 100.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Flickerstep
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Inherent Evade grants Movement Speed affix removed.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Damage Reduction from Close affix replaced with Life affix.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Lightning Resistance affix replaced with All Resistance affix.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Banished Lord's Talisman
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Unique Items,single,,,Maximum Life % affix replaced with Life affix.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,Aspect of Elements
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,"Renamed to ""Of Elemental Fate""."
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,"Fire, Lightning, and Physical."
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,"Cold, Poison, and Shadow."
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,comparison,Gain 15-35% increased damage to a set of damage types for 7 seconds. This effect alternates between 2 sets:,Gain 15-35% increased damage to a set of damage types for 7 seconds alternating randomly between 2 sets:,Changed from Gain 15-35% increased damage to a set of damage types for 7 seconds. This effect alternates between 2 sets: to Gain 15-35% increased damage to a set of damage types for 7 seconds alternating randomly between 2 sets:
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,"Fire, Lightning, and Physical."
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,"Cold, Poison, and Shadow."
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,"Fate can favor you granting the same bonus more than once, stacking up to 6 times. At Maximum, it's your lucky day!"
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,Needleflair Aspect
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,Reduced its frequency in extreme situations.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,Chance for Thorns to activate explosions increased from 25-45% to 40-60%.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,Assimilation Aspect
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,Fortify reduced from 5-10% to 2-3% of Maximum Life.
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,Aspect of Inevitable Fate
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,"Now has 21 ranks, up from 16."
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,Wildbolt Aspect
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,"Now has 21 ranks, up from 16."
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,Sticker-thought Aspect
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,"Now has 21 ranks, up from 16."
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,Aspect of Sly Steps
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,"Now has 21 ranks, up from 16."
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,Aspect of the Dark Dance
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,"Now has 21 ranks, up from 16."
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,Aspect of Creeping Death
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,"Now has 21 ranks, up from 16."
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,Aspect of the Prudent Heat
2.5.0,69713,"December 11, 2025",Balance Updates,All Classes,Legendary Aspects,single,,,"Now has 21 ranks, up from 16."
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,,single,,,Expertise
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,,single,,,The rank 10 Weapon Expertise bonus now also applies when equipped to the Weapon Technique Slot.
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Kick
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Damage increased from 60% to 100%.
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Power Kick
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,comparison,"Kick is now also a Core Skill. If Kick damages an enemy, it consumes all of your Fury and deals an additional 25% damage per 10 Fury spent. Kick no longer Knocks Back enemies.","Kick is now also a Core Skill. If Kick damages an enemy, it consumes up to 500 Fury and deals an additional 25%[x] damage per 20 Fury spent. Kick no longer Knocks Back enemies.","Changed from Kick is now also a Core Skill. If Kick damages an enemy, it consumes all of your Fury and deals an additional 25% damage per 10 Fury spent. Kick no longer Knocks Back enemies. to Kick is now also a Core Skill. If Kick damages an enemy, it consumes up to 500 Fury and deals an additional 25%[x] damage per 20 Fury spent. Kick no longer Knocks Back enemies."
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Mighty Kick
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Increased collide damage from 54% to 100%.
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Leap
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Now scales with Attack Speed.
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Upheaval
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Can now be cancelled slightly earlier with another skill.
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Iron Skin
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,comparison,"Steel yourself, gaining a Barrier that absorbs 50% of your missing Life for 5 seconds.","Steel yourself, increasing only your Maximum Life by 30% and gaining a Barrier that absorbs 80% of your missing Life for 5 seconds.","Changed from Steel yourself, gaining a Barrier that absorbs 50% of your missing Life for 5 seconds. to Steel yourself, increasing only your Maximum Life by 30% and gaining a Barrier that absorbs 80% of your missing Life for 5 seconds."
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Enhanced Ground Stomp
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,comparison,Ground Stomp generates 60 Fury and has a 2 second increased Stun duration.,Ground Stomp generates 60 Fury and Pulls in enemies.,Changed from Ground Stomp generates 60 Fury and has a 2 second increased Stun duration. to Ground Stomp generates 60 Fury and Pulls in enemies.
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Call of the Ancients
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Duration increased from 6 to 10 seconds.
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Iron Maelstrom
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Two-Handed Bludgeoning damage increased from 75% to 150%.
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Two-Handed Slashing initial damage increased from 20% to 40%.
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Two-Handed Slashing bleeding damage increased from 120% to 240%.
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Dual Wield damage increased from 43% to 86%.
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Enhanced Bash
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Fortify reduced from 20% to 10% of Maximum Life.
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Strategic Iron Skin
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Fortify reduced from 30% to 10% of Maximum Life.
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Enhanced War Cry
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Fortify reduced from 15% to 8% of Maximum Life.
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,single,,,Strategic Rallying Cry
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Skills,comparison,"Rallying Cry grants you 10% Maximum Life as Fortify. While Rallying Cry is active, you gain an additional 2% Maximum Life as Fortify each time you take or deal direct damage.","While Rallying Cry is active, gain 1% Maximum Life as Fortify every second.","Changed from Rallying Cry grants you 10% Maximum Life as Fortify. While Rallying Cry is active, you gain an additional 2% Maximum Life as Fortify each time you take or deal direct damage. to While Rallying Cry is active, gain 1% Maximum Life as Fortify every second."
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Passives,single,,,Counteroffensive
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Passives,comparison,"While you have Fortify for over 50% of your Maximum Life, you deal 4% increased damage.","While Fortified, deal 4% increased damage.","Changed from While you have Fortify for over 50% of your Maximum Life, you deal 4% increased damage. to While Fortified, deal 4% increased damage."
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Passives,single,,,Defensive Stance
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Passives,comparison,"While Fortified, you gain an additional 2% Damage Reduction and you Heal for .5% Maximum Life every second.","While Fortified, gain 3% Damage Reduction.","Changed from While Fortified, you gain an additional 2% Damage Reduction and you Heal for .5% Maximum Life every second. to While Fortified, gain 3% Damage Reduction."
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Passives,single,,,Irrepressible
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Passives,single,,,Fortify reduced from 10% to 3% of Maximum Life.
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Passives,single,,,Thick Skin
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Passives,single,,,Fortify reduced from .6% to .1% of Maximum Life.
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Legendary Aspects,single,,,Aspect of the Veteran Brawler
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Legendary Aspects,comparison,"Each time a Core Skill deals direct damage to an enemy, your next Charge, Leap, or Kick deals 4-10%[x] increased damage, up to 20-50%[x].","Each time a Brawling Skill deals direct damage to an enemy, your Charge, Leap, or Kick deals 4-10%[x] increased damage for 5 seconds, up to 20-50%[x].","Changed from Each time a Core Skill deals direct damage to an enemy, your next Charge, Leap, or Kick deals 4-10%[x] increased damage, up to 20-50%[x]. to Each time a Brawling Skill deals direct damage to an enemy, your Charge, Leap, or Kick deals 4-10%[x] increased damage for 5 seconds, up to 20-50%[x]."
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Legendary Aspects,single,,,Aspect of the Dire Whirlwind
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Legendary Aspects,comparison,"Whirlwind's Critical Strike Chance and Critical Strike Damage are increased by 6-10%[x] for each second it is channeled, up to 28-50%[x].","Whirlwind's Critical Strike Chance and Critical Strike Damage are increased by 6-10%[x] for each second it is channeled, up to 28-50%[x]. This bonus persists for 5 seconds after Whirlwind ends.","Changed from Whirlwind's Critical Strike Chance and Critical Strike Damage are increased by 6-10%[x] for each second it is channeled, up to 28-50%[x]. to Whirlwind's Critical Strike Chance and Critical Strike Damage are increased by 6-10%[x] for each second it is channeled, up to 28-50%[x]. This bonus persists for 5 seconds after Whirlwind ends."
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Legendary Aspects,single,,,Aspect of Numbing Wrath
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Legendary Aspects,comparison,Each point of Fury generated while at Maximum Fury grants 4-28 Fortify.,Every 100 Fury generated while at Maximum Fury grants 2-3% Max Life Fortify.,Changed from Each point of Fury generated while at Maximum Fury grants 4-28 Fortify. to Every 100 Fury generated while at Maximum Fury grants 2-3% Max Life Fortify.
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Legendary Aspects,single,,,Steadfast Berserker's Aspect
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Legendary Aspects,comparison,Gain 147-671 Fortify whenever you deal direct damage while Berserking.,Gain .1-.3% Max Life Fortify whenever you deal direct damage while Berserking.,Changed from Gain 147-671 Fortify whenever you deal direct damage while Berserking. to Gain .1-.3% Max Life Fortify whenever you deal direct damage while Berserking.
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Legendary Aspects,single,,,Aspect of Tempering Blows
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Legendary Aspects,comparison,"After swapping weapons 5 times, gain 98-622 Fortify.","After swapping weapons 5 times, gain 2-3% Max Life Fortify.","Changed from After swapping weapons 5 times, gain 98-622 Fortify. to After swapping weapons 5 times, gain 2-3% Max Life Fortify."
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Legendary Aspects,single,,,Aspect of Anger Management
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Legendary Aspects,single,,,"Now has 21 ranks, up from 16."
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Legendary Aspects,single,,,Executioner's Aspect
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Legendary Aspects,single,,,"Now has 21 ranks, up from 16."
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Legendary Aspects,single,,,Aspect of the Fortress
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Legendary Aspects,single,,,"Now has 21 ranks, up from 16."
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Unique Items,single,,,Bane of Ahjad-Den
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Unique Items,comparison,"Every 12 seconds, your next Mighty Throw detonates its pulses instantly as Fire Damage and deals 400-600%[x] increased damage.","Every 6 seconds, your next Mighty Throw detonates its pulses instantly as Fire Damage and deals 200-300%[x] increased damage.","Changed from Every 12 seconds, your next Mighty Throw detonates its pulses instantly as Fire Damage and deals 400-600%[x] increased damage. to Every 6 seconds, your next Mighty Throw detonates its pulses instantly as Fire Damage and deals 200-300%[x] increased damage."
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Paragon,single,,,Dominate Glyph
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Paragon,single,,,Reduced Overpower timer from 12 to 6 seconds.
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Paragon,single,,,Might Glyph
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Paragon,single,,,Legendary Bonus now includes damage to Injured enemies.
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Paragon,single,,,Weapons Master Legendary Node
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Paragon,comparison,Swapping Weapons restores 8% of your maximum Fury.,Swapping Weapons restores 12 Fury.,Changed from Swapping Weapons restores 8% of your maximum Fury. to Swapping Weapons restores 12 Fury.
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Paragon,single,,,Warbringer Legendary Node
2.5.0,69713,"December 11, 2025",Balance Updates,Barbarian,Paragon,comparison,"For every 75 Fury you spend, gain 15% of your Maximum Life as Fortify.","For every 300 Fury you spend, gain 10% of your Maximum Life as Fortify.","Changed from For every 75 Fury you spend, gain 15% of your Maximum Life as Fortify. to For every 300 Fury you spend, gain 10% of your Maximum Life as Fortify."
2.5.0,69713,"December 11, 2025",Balance Updates,Druid,,single,,,Spirit Boons
2.5.0,69713,"December 11, 2025",Balance Updates,Druid,,single,,,Bolster
2.5.0,69713,"December 11, 2025",Balance Updates,Druid,,single,,,Fortify reduced from 50% to 5% of Maximum Life.
2.5.0,69713,"December 11, 2025",Balance Updates,Druid,Skills,single,,,Grizzly Rage
2.5.0,69713,"December 11, 2025",Balance Updates,Druid,Skills,single,,,"Stacking duration is no longer a part of the ability, and Cooldown doesn't start until the ability ends."
2.5.0,69713,"December 11, 2025",Balance Updates,Druid,Skills,single,,,Stacking Damage per second removed and Damage Bonus increased to 60%.
2.5.0,69713,"December 11, 2025",Balance Updates,Druid,Skills,single,,,Skill Ranks of Grizzly Rage now grant bonus damage instead of reducing Cooldown.
2.5.0,69713,"December 11, 2025",Balance Updates,Druid,Skills,single,,,Natural Boulder
2.5.0,69713,"December 11, 2025",Balance Updates,Druid,Skills,single,,,Critical Strike Chance while Fortified increased from 20% to 25%.
2.5.0,69713,"December 11, 2025",Balance Updates,Druid,Skills,single,,,Enhanced Maul
2.5.0,69713,"December 11, 2025",Balance Updates,Druid,Skills,single,,,Fortify reduced from 8% to 2% of Maximum Life.
2.5.0,69713,"December 11, 2025",Balance Updates,Druid,Skills,single,,,Enhanced Debilitating Roar
2.5.0,69713,"December 11, 2025",Balance Updates,Druid,Skills,single,,,Fortify reduced from 20% to 15% of Maximum Life.
2.5.0,69713,"December 11, 2025",Balance Updates,Druid,Skills,single,,,Preserving Earthen Bulwark
2.5.0,69713,"December 11, 2025",Balance Updates,Druid,Skills,single,,,Fortify reduced from 18% to 10% of Maximum Life.
2.5.0,69713,"December 11, 2025",Balance Updates,Druid,Skills,single,,,Fierce Earth Spike
2.5.0,69713,"December 11, 2025",Balance Updates,Druid,Skills,single,,,Fortify reduced from 12% to 3% of Maximum Life.
2.5.0,69713,"December 11, 2025",Balance Updates,Druid,Skills,single,,,Supreme Grizzly Rage
2.5.0,69713,"December 11, 2025",Balance Updates,Druid,Skills,single,,,Fortify per second reduced from 8% to 2% of Maximum Life.
2.5.0,69713,"December 11, 2025",Balance Updates,Druid,Skills,single,,,Natural Trample
2.5.0,69713,"December 11, 2025",Balance Updates,Druid,Skills,single,,,Fortify reduced from 12% to 3% of Maximum Life.
